"","total","occupied","con_ad","con_mal","host","mal","ln.size"
"1",5,1,0.625,0.055,"A",0.2,6.161068385
"2",27,1,0.412,0.117,"A",0.24,6.331427297
"3",5,1,1.006,0.071,"A",0,5.73239376
"4",9,1,0.69,0.068,"A",0.222222222,6.51375015
"5",2,1,0.93,0.04,"A",0,5.929674318
"6",3,1,0.873,0.036,"A",0.2,5.276461804
"7",5,1,0.65,0.042,"A",0.2,6.455758203
"8",3,1,0.792,0.04,"A",0.2,6.307067951
"9",3,1,0.499,0.045,"A",0.666666667,6.768268016
"10",2,1,0.677,0.042,"A",0,5.541579244
"11",1,1,0.877,0.038,"A",1,4.989004616
"12",3,1,0.827,0.039,"A",0.666666667,5.862131379
"13",3,1,0.744,0.053,"A",0,6.386944624
"14",9,1,0.708,0.041,"A",0,6.607455023
"15",2,1,0.851,0.037,"A",0.333333333,6.455758203
"16",2,1,0.822,0.032,"A",0.333333333,6.29666519
"17",10,1,0.52,0.03,"A",0.2,6.5774918
"18",0,0,0.378,0.035,"A",NA,5.857332496
"19",1,1,0.482,0.036,"A",0,5.760422483
"20",3,1,0.735,0.038,"A",0.666666667,6.589614541
"21",1,1,0.658,0.049,"A",0,5.380211242
"22",1,1,0.943,0.038,"A",NA,6.187520721
"23",7,1,0.801,0.032,"A",0.428571429,6.691435152
"24",9,1,0.501,0.076,"A",0.333333333,6.582631439
"25",1,1,0.345,0.076,"A",0,5.079181246
"26",6,1,0.121,0.176,"A",0.333333333,6.51851394
"27",1,1,0.015,0.34,"A",0,7.096910013
"28",0,0,0.175,0.049,"A",NA,5.760422483
"29",3,1,0.167,0.116,"A",0,6.982271233
"30",0,0,0.126,0.029,"A",NA,5.049218023
"31",0,0,0.178,0.034,"A",NA,6.155336037
"32",5,1,0.196,0.09,"A",0.2,6.570309385
"33",2,1,0.196,0.039,"A",0.5,6.334453751
"34",0,0,0.259,0.036,"A",NA,6.079181246
"35",0,0,0.3,0.043,"A",NA,5.847572659
"36",2,1,0.353,0.05,"A",0.5,6.781396305
"37",3,1,0.324,0.082,"A",0.666666667,6.322219295
"38",3,1,0.296,0.098,"A",0,6.464191371
"39",1,1,0.229,0.276,"A",0,5.255272505
"40",1,1,0.277,0.242,"A",0,6.464191371
"41",0,0,0.217,0.539,"A",NA,5.245512668
"42",1,1,0.36,0.251,"A",0,6.459392488
"43",1,1,0.419,0.126,"A",0,6.624488363
"44",3,1,0.448,0.114,"A",0.666666667,6.545307116
"45",1,1,0.409,0.183,"A",0,6.113943352
"46",3,1,0.562,0.137,"A",0.666666667,6.540079089
"47",12,1,0.391,0.214,"A",0.25,6.888067113
"48",2,1,0.706,0.131,"A",0.5,6.369215857
"49",9,1,0.592,0.125,"A",0,6.592176757
"50",3,1,0.696,0.14,"A",0.666666667,6.51054501
"51",2,1,0.363,0.35,"A",0.5,6.471878199
"52",0,0,0.469,0.327,"A",NA,6.199755177
"53",3,1,0.398,0.157,"A",1,6.638688887
"54",7,1,0.462,0.128,"A",0.333333333,6.789580712
"55",13,1,0.299,0.211,"A",0.416666667,6.534026106
"56",0,0,0.205,0.208,"A",NA,5.748188027
"57",0,0,0.208,0.262,"A",NA,5.635483747
"58",1,1,0.323,0.114,"A",1,6.032618761
"59",2,1,0.157,0.09,"A",0,5.949877704
"60",2,1,0.138,0.232,"A",0,6.638688887
"61",0,0,0.174,0.379,"A",NA,6.309630167
"62",0,0,0.107,0.418,"A",NA,5.944482672
"63",1,1,0.165,0.521,"A",0,6.635483747
"64",2,1,0.124,0.494,"A",0.5,6.686636269
"65",0,0,0.108,0.571,"A",NA,6.539703239
"66",0,0,0.051,0.53,"A",NA,6.147367108
"67",0,0,0.062,0.526,"A",NA,5.494154594
"68",2,1,0.12,0.49,"A",0,6.146128036
"69",0,0,0.265,0.652,"A",NA,5.92505412
"70",6,1,0.248,0.261,"A",0.333333333,6.431363764
"71",3,1,0.159,0.511,"A",0.571428571,6.100370545
"72",3,1,0.214,0.283,"A",0.571428571,6.187520721
"73",2,1,0.159,0.283,"A",0.5,6.806179974
"74",1,1,0.108,0.216,"A",0,6.029789471
"75",3,1,0.194,0.443,"A",0,5.84509804
"76",2,1,0.287,0.116,"A",0,5.908485019
"77",3,1,0.184,0.098,"A",0,5.898725182
"78",0,0,0.142,0.063,"A",NA,5.857332496
"79",0,0,0.075,0.161,"A",NA,5.635483747
"80",1,1,0.148,0.316,"A",0,6.171726454
"81",0,0,0.08,0.209,"A",NA,4.698970004
"82",0,0,0.028,0.421,"A",NA,5.5774918
"83",0,0,0.036,0.357,"A",NA,5.898725182
"84",3,1,0.154,0.47,"A",0.333333333,6.362482475
"85",1,1,0.069,0.632,"A",0,6.670245853
"86",0,0,0.027,0.486,"A",NA,6.292256071
"87",2,1,0.116,0.506,"A",0.5,6.436162647
"88",0,0,0.096,0.539,"A",NA,6.413634997
"89",0,0,0.118,0.408,"A",NA,5.748188027
"90",0,0,0.014,0.257,"A",NA,6.266701967
"91",1,1,0.225,0.087,"A",0,5.322219295
"92",8,1,0.079,0.099,"A",0,5.84509804
"93",3,1,0.182,0.336,"A",0,5.811575006
"94",0,0,0.247,0.191,"A",NA,6.148602655
"95",3,1,0.129,0.476,"A",0.333333333,6.217483944
"96",3,1,0.057,0.133,"A",0.666666667,6.874365836
"97",1,1,0.056,0.231,"A",0,5.936513742
"98",0,0,0.102,0.048,"A",NA,5.334453751
"99",1,1,0.089,0.076,"A",0,6.146128036
"100",0,0,0.053,0.111,"A",NA,5.526339277
"101",0,0,0.068,0.17,"A",NA,6.017033339
"102",0,0,0.034,0.173,"A",NA,5.544068044
"103",1,1,0.009,0.184,"A",0,6.472756449
"104",0,0,0.139,0.125,"A",NA,6.061452479
"105",1,1,0.221,0.132,"A",1,6.234517284
"106",2,1,0.077,0.108,"A",0,5.79518459
"107",0,0,0.205,0.138,"A",NA,6.344392274
"108",2,1,0.047,0.023,"A",0,7.462996612
"109",2,1,0.186,0.067,"A",1,6.403977964
"110",0,0,0.308,0.115,"A",NA,6.068185862
"111",0,0,0.336,0.037,"A",NA,5.334453751
"112",5,1,0.107,0.047,"A",0.2,6.635483747
"113",3,1,0.133,0.066,"A",0.666666667,7.014352501
"114",0,0,0.127,0.045,"A",NA,6.309630167
"115",9,1,0.006,0.02,"A",0.222222222,6.871339381
"116",0,0,0.64,0.07,"A",NA,6.464191371
"117",1,1,0.53,0.043,"A",0,5.283301229
"118",5,1,0.071,0.066,"C",0.6,7.327399807
"119",1,1,0.057,0.016,"C",1,5.380211242
"120",0,0,0.078,0.024,"C",NA,5.176091259
"121",0,0,0.059,0.027,"C",NA,5.155336037
"122",1,1,0.028,0.065,"C",0,6.120573931
"123",0,0,0.063,0.077,"C",NA,6.163161375
"124",0,0,0.037,0.208,"C",NA,6.926753905
"125",4,1,0.06,0.708,"C",0.25,6.477121255
"126",3,1,0.247,0.156,"C",1,6.895090897
"127",4,1,0.255,0.138,"C",0.5,6.944482672
"128",23,1,0.063,0.05,"C",0.5,7.630783708
"129",3,1,0.121,0.287,"C",0.333333333,7.182557301
"130",11,1,0.226,0.202,"C",0.3,6.878521796
"131",3,1,0.079,0.784,"C",0.666666667,6.322219295
"132",14,1,0.214,0.336,"C",0.285714286,6.838849091
"133",0,0,0.149,0.593,"C",NA,5.878521796
"134",10,1,0.048,0.372,"C",0.222222222,7.202461071
"135",0,0,0.053,0.08,"C",NA,5.898725182
"136",2,1,0.079,0.108,"C",0,7.31344537
"137",3,1,0.089,0.012,"C",0,5.437116093
"138",9,1,0.211,0.025,"C",0.555555556,6.917085191
"139",0,0,0.241,0.07,"C",NA,5.84509804
"140",14,1,0.223,0.078,"C",0.428571429,7.459392488
"141",1,1,0.383,0.037,"C",0,6.171726454
"142",10,1,0.363,0.208,"C",0.2,6.610660163
"143",7,1,0.47,0.123,"C",0.428571429,6.709269961
"144",11,1,0.314,0.149,"C",0.454545455,6.756788199
"145",12,1,0.169,0.256,"C",0.4,6.582631439
"146",8,1,0.223,0.166,"C",0.5,6.738304793
"147",1,1,0.269,0.025,"C",1,5.334453751
"148",1,1,0.391,0.022,"C",0,5.847572659
"149",4,1,0.347,0.042,"C",1,7.189490314
"150",7,1,0.39,0.157,"C",0.666666667,6.743823222
"151",1,1,0.488,0.058,"C",1,5.799340549
"152",1,1,0.541,0.051,"C",1,6.109578547
"153",29,1,0.243,0.035,"C",0.36,7.988737275
"154",2,1,0.557,0.045,"C",0.5,6.670245853
"155",0,0,0.511,0.045,"C",NA,6.37401474
"156",1,1,0.447,0.039,"C",1,6.545307116
"157",6,1,0.497,0.101,"C",0.25,6.84460142
"158",9,1,0.222,0.013,"C",0.5,7.204119983
"159",8,1,0.145,0.049,"C",0.375,7.079181246
"160",2,1,0.188,0.006,"C",0.5,6.588383768
"161",1,1,0.257,0.012,"C",1,6.054613055
"162",4,1,0.212,0.019,"C",0.666666667,6.733598461
"163",12,1,0.244,0.048,"C",0.272727273,7.373022403
"164",9,1,0.487,0.103,"C",0.333333333,6.644438589
"165",27,1,0.188,0.039,"C",0.333333333,7.876587296
"166",0,0,0.275,0.007,"C",NA,5.69019608
"167",2,1,0.115,0.003,"C",1,7.997692118
"168",3,1,0.041,0,"C",1,7.09981871
"169",6,1,0.143,0.005,"C",0.5,7.378851946
"170",3,1,0.044,0,"C",0,7.082641778
"171",18,1,0.04,0.03,"C",0.375,8.048130927
"172",16,1,0.019,0.031,"C",0.333333333,7.273001272
"173",1,1,0.038,0.009,"C",0,5.959041392
"174",5,1,0.068,0.015,"C",0.2,6.908270499
"175",1,1,0.119,0.018,"C",1,6.385606274
"176",0,0,0.106,0.031,"C",NA,6.485721426
"177",1,1,0.095,0.057,"C",0,6.556302501
"178",3,1,0.051,0.073,"C",0.333333333,7.273417995
"179",5,1,0.044,0.378,"C",0.6,6.948999454
"180",3,1,0.067,0.134,"C",0.333333333,6.821120324
"181",0,0,0.085,0.151,"C",NA,6.2509077
"182",0,0,0.029,0.129,"C",NA,5.840733235
"183",1,1,0.018,0.176,"C",1,6.432006687
"184",0,0,0.079,0.245,"C",NA,5.5774918
"185",1,1,0.181,0.215,"C",0,6.568788212
"186",0,0,0.052,0.069,"C",NA,7.270212855
